DATE,GS10,GS5,GS1
2014-06-01,2.60,1.68,0.10
2014-07-01,2.54,1.70,0.11
2014-08-01,2.42,1.63,0.11
2014-09-01,2.53,1.77,0.11
2014-10-01,2.30,1.55,0.10
2014-11-01,2.33,1.62,0.13
2014-12-01,2.21,1.64,0.21
2015-01-01,1.88,1.37,0.20
2015-02-01,1.98,1.47,0.22
2015-03-01,2.04,1.52,0.25
2015-04-01,1.94,1.35,0.23
2015-05-01,2.20,1.54,0.24
2015-06-01,2.36,1.68,0.28
2015-07-01,2.32,1.63,0.30
2015-08-01,2.17,1.54,0.38
2015-09-01,2.17,1.49,0.37
2015-10-01,2.07,1.39,0.26
2015-11-01,2.26,1.67,0.48
2015-12-01,2.24,1.70,0.65
2016-01-01,2.09,1.52,0.54
2016-02-01,1.78,1.22,0.53
2016-03-01,1.89,1.38,0.66
2016-04-01,1.81,1.26,0.56
2016-05-01,1.81,1.30,0.59
2016-06-01,1.64,1.17,0.55
2016-07-01,1.50,1.07,0.51
2016-08-01,1.56,1.13,0.57
2016-09-01,1.63,1.18,0.59
2016-10-01,1.76,1.27,0.66
2016-11-01,2.14,1.60,0.74
2016-12-01,2.49,1.96,0.87
2017-01-01,2.43,1.92,0.83
2017-02-01,2.42,1.90,0.82
2017-03-01,2.48,2.01,1.01
2017-04-01,2.30,1.82,1.04
2017-05-01,2.30,1.84,1.12
2017-06-01,2.19,1.77,1.20
2017-07-01,2.32,1.87,1.22
2017-08-01,2.21,1.78,1.23
2017-09-01,2.20,1.80,1.28
2017-10-01,2.36,1.98,1.40
2017-11-01,2.35,2.05,1.56
2017-12-01,2.40,2.18,1.70
2018-01-01,2.58,2.38,1.80
2018-02-01,2.86,2.60,1.96
2018-03-01,2.84,2.63,2.06
2018-04-01,2.87,2.70,2.15
2018-05-01,2.98,2.82,2.27
2018-06-01,2.91,2.78,2.33
2018-07-01,2.89,2.78,2.39
2018-08-01,2.89,2.77,2.45
2018-09-01,3.00,2.89,2.56
2018-10-01,3.15,3.00,2.65
2018-11-01,3.12,2.95,2.70
2018-12-01,2.83,2.68,2.66
2019-01-01,2.71,2.54,2.58
2019-02-01,2.68,2.49,2.55
2019-03-01,2.57,2.37,2.49
2019-04-01,2.53,2.33,2.42
2019-05-01,2.40,2.19,2.34
2019-06-01,2.07,1.83,2.00
2019-07-01,2.06,1.83,1.96
2019-08-01,1.63,1.49,1.77
2019-09-01,1.70,1.57,1.80
2019-10-01,1.71,1.53,1.61
2019-11-01,1.81,1.64,1.57
2019-12-01,1.86,1.68,1.55
2020-01-01,1.76,1.56,1.53
2020-02-01,1.50,1.32,1.41
2020-03-01,0.87,0.59,0.33
