DATE,GS10,GS5,GS1
1967-03-01,4.54,4.54,4.35
1967-04-01,4.59,4.51,4.11
1967-05-01,4.85,4.75,4.15
1967-06-01,5.02,5.01,4.48
1967-07-01,5.16,5.23,5.01
1967-08-01,5.28,5.31,5.13
1967-09-01,5.30,5.40,5.24
1967-10-01,5.48,5.57,5.37
1967-11-01,5.75,5.78,5.61
1967-12-01,5.70,5.75,5.71
1968-01-01,5.53,5.54,5.43
1968-02-01,5.56,5.59,5.41
1968-03-01,5.74,5.76,5.58
1968-04-01,5.64,5.69,5.71
1968-05-01,5.87,6.04,6.14
1968-06-01,5.72,5.85,5.98
1968-07-01,5.50,5.60,5.65
1968-08-01,5.42,5.50,5.43
1968-09-01,5.46,5.48,5.45
1968-10-01,5.58,5.55,5.57
1968-11-01,5.70,5.66,5.75
1968-12-01,6.03,6.12,6.19
1969-01-01,6.04,6.25,6.34
1969-02-01,6.19,6.34,6.41
1969-03-01,6.30,6.41,6.34
1969-04-01,6.17,6.30,6.26
1969-05-01,6.32,6.54,6.42
1969-06-01,6.57,6.75,7.04
1969-07-01,6.72,7.01,7.60
1969-08-01,6.69,7.03,7.54
1969-09-01,7.16,7.57,7.82
1969-10-01,7.10,7.51,7.64
1969-11-01,7.14,7.53,7.89
1969-12-01,7.65,7.96,8.17
1970-01-01,7.79,8.17,8.10
1970-02-01,7.24,7.82,7.59
1970-03-01,7.07,7.21,6.97
1970-04-01,7.39,7.50,7.06
1970-05-01,7.91,7.97,7.75
1970-06-01,7.84,7.85,7.55
1970-07-01,7.46,7.59,7.10
1970-08-01,7.53,7.57,6.98
1970-09-01,7.39,7.29,6.73
1970-10-01,7.33,7.12,6.43
1970-11-01,6.84,6.47,5.51
1970-12-01,6.39,5.95,5.00
1971-01-01,6.24,5.89,4.57
1971-02-01,6.11,5.56,3.89
1971-03-01,5.70,5.00,3.69
1971-04-01,5.83,5.65,4.30
1971-05-01,6.39,6.28,5.04
1971-06-01,6.52,6.53,5.64
1971-07-01,6.73,6.85,6.04
1971-08-01,6.58,6.55,5.80
1971-09-01,6.14,6.14,5.41
1971-10-01,5.93,5.93,4.91
1971-11-01,5.81,5.78,4.67
1971-12-01,5.93,5.69,4.60
1972-01-01,5.95,5.59,4.28
1972-02-01,6.08,5.69,4.27
1972-03-01,6.07,5.87,4.67
1972-04-01,6.19,6.17,4.96
1972-05-01,6.13,5.85,4.64
1972-06-01,6.11,5.91,4.93
1972-07-01,6.11,5.97,4.96
1972-08-01,6.21,6.02,4.98
1972-09-01,6.55,6.25,5.52
1972-10-01,6.48,6.18,5.52
1972-11-01,6.28,6.12,5.27
1972-12-01,6.36,6.16,5.52
1973-01-01,6.46,6.34,5.89
1973-02-01,6.64,6.60,6.19
1973-03-01,6.71,6.80,6.85
1973-04-01,6.67,6.67,6.85
1973-05-01,6.85,6.80,6.89
1973-06-01,6.90,6.69,7.31
1973-07-01,7.13,7.33,8.39
1973-08-01,7.40,7.63,8.82
1973-09-01,7.09,7.05,8.31
1973-10-01,6.79,6.77,7.40
1973-11-01,6.73,6.92,7.57
1973-12-01,6.74,6.80,7.27
1974-01-01,6.99,6.95,7.42
1974-02-01,6.96,6.82,6.88
1974-03-01,7.21,7.31,7.76
1974-04-01,7.51,7.92,8.62
1974-05-01,7.58,8.18,8.78
1974-06-01,7.54,8.10,8.67
1974-07-01,7.81,8.38,8.80
1974-08-01,8.04,8.63,9.36
1974-09-01,8.04,8.37,8.87
1974-10-01,7.90,7.97,8.05
1974-11-01,7.68,7.68,7.66
1974-12-01,7.43,7.31,7.31
1975-01-01,7.50,7.41,6.83
1975-02-01,7.39,7.11,5.98
1975-03-01,7.73,7.30,6.11
1975-04-01,8.23,7.99,6.90
1975-05-01,8.06,7.72,6.39
1975-06-01,7.86,7.51,6.29
1975-07-01,8.06,7.92,7.11
1975-08-01,8.40,8.33,7.70
1975-09-01,8.43,8.37,7.75
1975-10-01,8.14,7.97,6.95
1975-11-01,8.05,7.80,6.49
1975-12-01,8.00,7.76,6.60
1976-01-01,7.74,7.46,5.81
1976-02-01,7.79,7.45,5.91
1976-03-01,7.73,7.49,6.21
1976-04-01,7.56,7.25,5.92
1976-05-01,7.90,7.59,6.40
1976-06-01,7.86,7.61,6.52
1976-07-01,7.83,7.49,6.20
1976-08-01,7.77,7.31,6.00
1976-09-01,7.59,7.13,5.84
1976-10-01,7.41,6.75,5.50
1976-11-01,7.29,6.52,5.29
1976-12-01,6.87,6.10,4.89
1977-01-01,7.21,6.58,5.29
1977-02-01,7.39,6.83,5.47
1977-03-01,7.46,6.93,5.50
1977-04-01,7.37,6.79,5.44
1977-05-01,7.46,6.94,5.84
1977-06-01,7.28,6.76,5.80
1977-07-01,7.33,6.84,5.94
1977-08-01,7.40,7.03,6.37
1977-09-01,7.34,7.04,6.53
1977-10-01,7.52,7.32,6.97
1977-11-01,7.58,7.34,6.95
1977-12-01,7.69,7.48,6.96
1978-01-01,7.96,7.77,7.28
1978-02-01,8.03,7.83,7.34
1978-03-01,8.04,7.86,7.31
1978-04-01,8.15,7.98,7.45
1978-05-01,8.35,8.18,7.82
1978-06-01,8.46,8.36,8.09
1978-07-01,8.64,8.54,8.39
1978-08-01,8.41,8.33,8.31
1978-09-01,8.42,8.43,8.64
1978-10-01,8.64,8.61,9.14
1978-11-01,8.81,8.84,10.01
1978-12-01,9.01,9.08,10.30
1979-01-01,9.10,9.20,10.41
1979-02-01,9.10,9.13,10.24
1979-03-01,9.12,9.20,10.25
1979-04-01,9.18,9.25,10.12
1979-05-01,9.25,9.24,10.12
1979-06-01,8.91,8.85,9.57
1979-07-01,8.95,8.90,9.64
1979-08-01,9.03,9.06,9.98
1979-09-01,9.33,9.41,10.84
1979-10-01,10.30,10.63,12.44
1979-11-01,10.65,10.93,12.39
1979-12-01,10.39,10.42,11.98
1980-01-01,10.80,10.74,12.06
1980-02-01,12.41,12.60,13.92
1980-03-01,12.75,13.47,15.82
1980-04-01,11.47,11.84,13.30
1980-05-01,10.18,9.95,9.39
1980-06-01,9.78,9.21,8.16
1980-07-01,10.25,9.53,8.65
1980-08-01,11.10,10.84,10.24
1980-09-01,11.51,11.62,11.52
1980-10-01,11.75,11.86,12.49
1980-11-01,12.68,12.83,14.15
1980-12-01,12.84,13.25,14.88
1981-01-01,12.57,12.77,14.08
1981-02-01,13.19,13.41,14.57
1981-03-01,13.12,13.41,13.71
1981-04-01,13.68,13.99,14.32
1981-05-01,14.10,14.63,16.20
1981-06-01,13.47,13.95,14.86
1981-07-01,14.28,14.79,15.72
1981-08-01,14.94,15.56,16.72
1981-09-01,15.32,15.93,16.52
1981-10-01,15.15,15.41,15.38
1981-11-01,13.39,13.38,12.41
1981-12-01,13.72,13.60,12.85
1982-01-01,14.59,14.65,14.32
1982-02-01,14.43,14.54,14.73
1982-03-01,13.86,13.98,13.95
1982-04-01,13.87,14.00,13.98
1982-05-01,13.62,13.75,13.34
1982-06-01,14.30,14.43,14.07
1982-07-01,13.95,14.07,13.24
1982-08-01,13.06,13.00,11.43
1982-09-01,12.34,12.25,10.85
1982-10-01,10.91,10.80,9.32
1982-11-01,10.55,10.38,9.16
1982-12-01,10.54,10.22,8.91
1983-01-01,10.46,10.03,8.62
1983-02-01,10.72,10.26,8.92
1983-03-01,10.51,10.08,9.04
1983-04-01,10.40,10.02,8.98
1983-05-01,10.38,10.03,8.90
1983-06-01,10.85,10.63,9.66
1983-07-01,11.38,11.21,10.20
1983-08-01,11.85,11.63,10.53
1983-09-01,11.65,11.43,10.16
1983-10-01,11.54,11.28,9.81
1983-11-01,11.69,11.41,9.94
1983-12-01,11.83,11.54,10.11
1984-01-01,11.67,11.37,9.90
1984-02-01,11.84,11.54,10.04
1984-03-01,12.32,12.02,10.59
1984-04-01,12.63,12.37,10.90
1984-05-01,13.41,13.17,11.66
1984-06-01,13.56,13.48,12.08
1984-07-01,13.36,13.27,12.03
1984-08-01,12.72,12.68,11.82
1984-09-01,12.52,12.53,11.58
1984-10-01,12.16,12.06,10.90
1984-11-01,11.57,11.33,9.82
1984-12-01,11.50,11.07,9.33
1985-01-01,11.38,10.93,9.02
1985-02-01,11.51,11.13,9.29
1985-03-01,11.86,11.52,9.86
1985-04-01,11.43,11.01,9.14
1985-05-01,10.85,10.34,8.46
1985-06-01,10.16,9.60,7.80
1985-07-01,10.31,9.70,7.86
1985-08-01,10.33,9.81,8.05
1985-09-01,10.37,9.81,8.07
1985-10-01,10.24,9.69,8.01
1985-11-01,9.78,9.28,7.88
1985-12-01,9.26,8.73,7.67
1986-01-01,9.19,8.68,7.73
1986-02-01,8.70,8.34,7.61
1986-03-01,7.78,7.46,7.03
1986-04-01,7.30,7.05,6.44
1986-05-01,7.71,7.52,6.65
1986-06-01,7.80,7.64,6.73
1986-07-01,7.30,7.06,6.27
1986-08-01,7.17,6.80,5.93
1986-09-01,7.45,6.92,5.77
1986-10-01,7.43,6.83,5.72
1986-11-01,7.25,6.76,5.80
1986-12-01,7.11,6.67,5.87
1987-01-01,7.08,6.64,5.78
1987-02-01,7.25,6.79,5.96
1987-03-01,7.25,6.79,6.03
1987-04-01,8.02,7.57,6.50
1987-05-01,8.61,8.26,7.00
1987-06-01,8.40,8.02,6.80
1987-07-01,8.45,8.01,6.68
1987-08-01,8.76,8.32,7.03
1987-09-01,9.42,8.94,7.67
1987-10-01,9.52,9.08,7.59
1987-11-01,8.86,8.35,6.96
1987-12-01,8.99,8.45,7.17
1988-01-01,8.67,8.18,6.99
1988-02-01,8.21,7.71,6.64
1988-03-01,8.37,7.83,6.71
1988-04-01,8.72,8.19,7.01
1988-05-01,9.09,8.58,7.40
1988-06-01,8.92,8.49,7.49
1988-07-01,9.06,8.66,7.75
1988-08-01,9.26,8.94,8.17
1988-09-01,8.98,8.69,8.09
1988-10-01,8.80,8.51,8.11
1988-11-01,8.96,8.79,8.48
1988-12-01,9.11,9.09,8.99
1989-01-01,9.09,9.15,9.05
1989-02-01,9.17,9.27,9.25
1989-03-01,9.36,9.51,9.57
1989-04-01,9.18,9.30,9.36
1989-05-01,8.86,8.91,8.98
1989-06-01,8.28,8.29,8.44
1989-07-01,8.02,7.83,7.89
1989-08-01,8.11,8.09,8.18
1989-09-01,8.19,8.17,8.22
1989-10-01,8.01,7.97,7.99
1989-11-01,7.87,7.81,7.77
1989-12-01,7.84,7.75,7.72
1990-01-01,8.21,8.12,7.92
1990-02-01,8.47,8.42,8.11
1990-03-01,8.59,8.60,8.35
1990-04-01,8.79,8.77,8.40
1990-05-01,8.76,8.74,8.32
1990-06-01,8.48,8.43,8.10
1990-07-01,8.47,8.33,7.94
1990-08-01,8.75,8.44,7.78
1990-09-01,8.89,8.51,7.76
1990-10-01,8.72,8.33,7.55
1990-11-01,8.39,8.02,7.31
1990-12-01,8.08,7.73,7.05
1991-01-01,8.09,7.70,6.64
1991-02-01,7.85,7.47,6.27
1991-03-01,8.11,7.77,6.40
1991-04-01,8.04,7.70,6.24
1991-05-01,8.07,7.70,6.13
1991-06-01,8.28,7.94,6.36
1991-07-01,8.27,7.91,6.31
1991-08-01,7.90,7.43,5.78
1991-09-01,7.65,7.14,5.57
1991-10-01,7.53,6.87,5.33
1991-11-01,7.42,6.62,4.89
1991-12-01,7.09,6.19,4.38
1992-01-01,7.03,6.24,4.15
1992-02-01,7.34,6.58,4.29
1992-03-01,7.54,6.95,4.63
1992-04-01,7.48,6.78,4.30
1992-05-01,7.39,6.69,4.19
1992-06-01,7.26,6.48,4.17
1992-07-01,6.84,5.84,3.60
1992-08-01,6.59,5.60,3.47
1992-09-01,6.42,5.38,3.18
1992-10-01,6.59,5.60,3.30
1992-11-01,6.87,6.04,3.68
1992-12-01,6.77,6.08,3.71
1993-01-01,6.60,5.83,3.50
1993-02-01,6.26,5.43,3.39
1993-03-01,5.98,5.19,3.33
1993-04-01,5.97,5.13,3.24
1993-05-01,6.04,5.20,3.36
1993-06-01,5.96,5.22,3.54
1993-07-01,5.81,5.09,3.47
1993-08-01,5.68,5.03,3.44
1993-09-01,5.36,4.73,3.36
1993-10-01,5.33,4.71,3.39
1993-11-01,5.72,5.06,3.58
1993-12-01,5.77,5.15,3.61
1994-01-01,5.75,5.09,3.54
1994-02-01,5.97,5.40,3.87
1994-03-01,6.48,5.94,4.32
1994-04-01,6.97,6.52,4.82
1994-05-01,7.18,6.78,5.31
1994-06-01,7.10,6.70,5.27
1994-07-01,7.30,6.91,5.48
1994-08-01,7.24,6.88,5.56
1994-09-01,7.46,7.08,5.76
1994-10-01,7.74,7.40,6.11
1994-11-01,7.96,7.72,6.54
1994-12-01,7.81,7.78,7.14
1995-01-01,7.78,7.76,7.05
1995-02-01,7.47,7.37,6.70
1995-03-01,7.20,7.05,6.43
1995-04-01,7.06,6.86,6.27
1995-05-01,6.63,6.41,6.00
1995-06-01,6.17,5.93,5.64
1995-07-01,6.28,6.01,5.59
1995-08-01,6.49,6.24,5.75
1995-09-01,6.20,6.00,5.62
1995-10-01,6.04,5.86,5.59
1995-11-01,5.93,5.69,5.43
1995-12-01,5.71,5.51,5.31
1996-01-01,5.65,5.36,5.09
1996-02-01,5.81,5.38,4.94
1996-03-01,6.27,5.97,5.34
1996-04-01,6.51,6.30,5.54
1996-05-01,6.74,6.48,5.64
1996-06-01,6.91,6.69,5.81
1996-07-01,6.87,6.64,5.85
1996-08-01,6.64,6.39,5.67
1996-09-01,6.83,6.60,5.83
1996-10-01,6.53,6.27,5.55
1996-11-01,6.20,5.97,5.42
1996-12-01,6.30,6.07,5.47
1997-01-01,6.58,6.33,5.61
1997-02-01,6.42,6.20,5.53
1997-03-01,6.69,6.54,5.80
1997-04-01,6.89,6.76,5.99
1997-05-01,6.71,6.57,5.87
1997-06-01,6.49,6.38,5.69
1997-07-01,6.22,6.12,5.54
1997-08-01,6.30,6.16,5.56
1997-09-01,6.21,6.11,5.52
1997-10-01,6.03,5.93,5.46
1997-11-01,5.88,5.80,5.46
1997-12-01,5.81,5.77,5.53
1998-01-01,5.54,5.42,5.24
1998-02-01,5.57,5.49,5.31
1998-03-01,5.65,5.61,5.39
1998-04-01,5.64,5.61,5.38
1998-05-01,5.65,5.63,5.44
1998-06-01,5.50,5.52,5.41
1998-07-01,5.46,5.46,5.36
1998-08-01,5.34,5.27,5.21
1998-09-01,4.81,4.62,4.71
1998-10-01,4.53,4.18,4.12
1998-11-01,4.83,4.54,4.53
1998-12-01,4.65,4.45,4.52
1999-01-01,4.72,4.60,4.51
1999-02-01,5.00,4.91,4.70
1999-03-01,5.23,5.14,4.78
1999-04-01,5.18,5.08,4.69
1999-05-01,5.54,5.44,4.85
1999-06-01,5.90,5.81,5.10
1999-07-01,5.79,5.68,5.03
1999-08-01,5.94,5.84,5.20
1999-09-01,5.92,5.80,5.25
1999-10-01,6.11,6.03,5.43
1999-11-01,6.03,5.97,5.55
1999-12-01,6.28,6.19,5.84
2000-01-01,6.66,6.58,6.12
2000-02-01,6.52,6.68,6.22
2000-03-01,6.26,6.50,6.22
2000-04-01,5.99,6.26,6.15
2000-05-01,6.44,6.69,6.33
2000-06-01,6.10,6.30,6.17
2000-07-01,6.05,6.18,6.08
2000-08-01,5.83,6.06,6.18
2000-09-01,5.80,5.93,6.13
2000-10-01,5.74,5.78,6.01
2000-11-01,5.72,5.70,6.09
2000-12-01,5.24,5.17,5.60
2001-01-01,5.16,4.86,4.81
2001-02-01,5.10,4.89,4.68
2001-03-01,4.89,4.64,4.30
2001-04-01,5.14,4.76,3.98
2001-05-01,5.39,4.93,3.78
2001-06-01,5.28,4.81,3.58
2001-07-01,5.24,4.76,3.62
2001-08-01,4.97,4.57,3.47
2001-09-01,4.73,4.12,2.82
2001-10-01,4.57,3.91,2.33
2001-11-01,4.65,3.97,2.18
2001-12-01,5.09,4.39,2.22
2002-01-01,5.04,4.34,2.16
2002-02-01,4.91,4.30,2.23
2002-03-01,5.28,4.74,2.57
2002-04-01,5.21,4.65,2.48
2002-05-01,5.16,4.49,2.35
2002-06-01,4.93,4.19,2.20
2002-07-01,4.65,3.81,1.96
2002-08-01,4.26,3.29,1.76
2002-09-01,3.87,2.94,1.72
2002-10-01,3.94,2.95,1.65
2002-11-01,4.05,3.05,1.49
2002-12-01,4.03,3.03,1.45
2003-01-01,4.05,3.05,1.36
2003-02-01,3.90,2.90,1.30
2003-03-01,3.81,2.78,1.24
2003-04-01,3.96,2.93,1.27
2003-05-01,3.57,2.52,1.18
2003-06-01,3.33,2.27,1.01
2003-07-01,3.98,2.87,1.12
2003-08-01,4.45,3.37,1.31
2003-09-01,4.27,3.18,1.24
2003-10-01,4.29,3.19,1.25
2003-11-01,4.30,3.29,1.34
2003-12-01,4.27,3.27,1.31
2004-01-01,4.15,3.12,1.24
2004-02-01,4.08,3.07,1.24
2004-03-01,3.83,2.79,1.19
2004-04-01,4.35,3.39,1.43
2004-05-01,4.72,3.85,1.78
2004-06-01,4.73,3.93,2.12
2004-07-01,4.50,3.69,2.10
2004-08-01,4.28,3.47,2.02
2004-09-01,4.13,3.36,2.12
2004-10-01,4.10,3.35,2.23
2004-11-01,4.19,3.53,2.50
2004-12-01,4.23,3.60,2.67
2005-01-01,4.22,3.71,2.86
2005-02-01,4.17,3.77,3.03
2005-03-01,4.50,4.17,3.30
2005-04-01,4.34,4.00,3.32
2005-05-01,4.14,3.85,3.33
2005-06-01,4.00,3.77,3.36
2005-07-01,4.18,3.98,3.64
2005-08-01,4.26,4.12,3.87
2005-09-01,4.20,4.01,3.85
2005-10-01,4.46,4.33,4.18
2005-11-01,4.54,4.45,4.33
2005-12-01,4.47,4.39,4.35
2006-01-01,4.42,4.35,4.45
2006-02-01,4.57,4.57,4.68
2006-03-01,4.72,4.72,4.77
2006-04-01,4.99,4.90,4.90
2006-05-01,5.11,5.00,5.00
2006-06-01,5.11,5.07,5.16
2006-07-01,5.09,5.04,5.22
2006-08-01,4.88,4.82,5.08
2006-09-01,4.72,4.67,4.97
2006-10-01,4.73,4.69,5.01
2006-11-01,4.60,4.58,5.01
2006-12-01,4.56,4.53,4.94
2007-01-01,4.76,4.75,5.06
2007-02-01,4.72,4.71,5.05
2007-03-01,4.56,4.48,4.92
2007-04-01,4.69,4.59,4.93
2007-05-01,4.75,4.67,4.91
2007-06-01,5.10,5.03,4.96
2007-07-01,5.00,4.88,4.96
2007-08-01,4.67,4.43,4.47
2007-09-01,4.52,4.20,4.14
2007-10-01,4.53,4.20,4.10
2007-11-01,4.15,3.67,3.50
2007-12-01,4.10,3.49,3.26
2008-01-01,3.74,2.98,2.71
2008-02-01,3.74,2.78,2.05
2008-03-01,3.51,2.48,1.54
2008-04-01,3.68,2.84,1.74
2008-05-01,3.88,3.15,2.06
2008-06-01,4.10,3.49,2.42
2008-07-01,4.01,3.30,2.28
2008-08-01,3.89,3.14,2.18
2008-09-01,3.69,2.88,1.91
2008-10-01,3.81,2.73,1.42
2008-11-01,3.53,2.29,1.07
2008-12-01,2.42,1.52,0.49
2009-01-01,2.52,1.60,0.44
2009-02-01,2.87,1.87,0.62
2009-03-01,2.82,1.82,0.64
2009-04-01,2.93,1.86,0.55
2009-05-01,3.29,2.13,0.50
2009-06-01,3.72,2.71,0.51
2009-07-01,3.56,2.46,0.48
2009-08-01,3.59,2.57,0.46
