Date,PUT_90,PUT_75,PUT_60,PUT_50,PUT_40,PUT_25,PUT_10,ATM,CALL_10,CALL_25,CALL_40,CALL_50,CALL_60,CALL_75,CALL_90
2005-01-04,-0.6210535649233556,-0.42462748340807277,-0.4569390420337132,-0.4601288448945091,-0.427946046634599,-0.3482982861885889,-0.3084998471085363,-0.07936444124590578,-0.08888179446807344,-0.27044485694586595,-0.41082779625578847,-0.4708501577416648,-0.4983652877025099,-0.531866491413515,-0.6166238632956899
2005-01-05,-0.6208815863050007,-0.42349375079517965,-0.4512190600021851,-0.44991726759449985,-0.41569816038279234,-0.33404484075833113,-0.2942020197713887,-0.06539018625746176,-0.08765836914526465,-0.26403632660278775,-0.40064818273923664,-0.45974385788823546,-0.488694189070246,-0.52498867808377,-0.6120694968323218
2005-01-06,-0.6387462563853068,-0.42762831933878026,-0.46867526478023647,-0.4802565627842709,-0.45878554842014635,-0.3904756887747768,-0.3527263326984821,-0.11070582776701557,-0.08336319124642402,-0.2794256329863403,-0.42986463406693853,-0.4923988071618837,-0.5206135827220542,-0.5526257314746262,-0.6332180155382564
2005-01-07,-0.6427254184962509,-0.43779173776308045,-0.4853543045399022,-0.5017660534119615,-0.4871213227846547,-0.424524437930685,-0.38515867212266,-0.1390853192708612,-0.11225705011633244,-0.31080201433625915,-0.45761614316971105,-0.5154770506072445,-0.5410513903449904,-0.5686174697987332,-0.6444727701822085
2005-01-10,-0.6479115718703058,-0.4384591433949418,-0.48807853380669797,-0.5066254364409611,-0.4803878387263047,-0.39905249764546535,-0.3492709249548906,-0.1477014223269601,-0.1157679240953094,-0.3154301294350457,-0.462965868405591,-0.5206812320277717,-0.536395936332968,-0.556424290992842,-0.6313924733458187
2005-01-11,-0.6466180621065851,-0.4333941531000973,-0.48471950096986105,-0.5060125225559081,-0.47136362861035935,-0.3753623861085614,-0.31652027657542636,-0.1418013299584732,-0.08001120186169575,-0.29434242180653203,-0.4559067881450871,-0.5200040791640542,-0.5304397197511939,-0.5467590885529765,-0.621625928644414
2005-01-12,-0.6536531233080995,-0.44879306343729475,-0.5188613635219729,-0.5582878600085739,-0.5387738558830589,-0.4488459022407262,-0.38102987772293184,-0.2310624369678204,-0.11606024822569065,-0.35149105318302154,-0.5192425014021925,-0.5769642441861108,-0.5756672388605338,-0.5785179062311618,-0.6426833105814613
2005-01-13,-0.6494944086682393,-0.43599541810606474,-0.5158855775971133,-0.5675800374573364,-0.5460677683944334,-0.44667834537086015,-0.3689230283442955,-0.23874273610525718,-0.019907664714433868,-0.2996632287990145,-0.5118216433090418,-0.5870137102988544,-0.5814033558519062,-0.5798803168589468,-0.641962630328623
2005-01-14,-0.6560372891592092,-0.45685801286189626,-0.5474819011760966,-0.6095659199859008,-0.5966208455345543,-0.48591010663738177,-0.38965623788789766,-0.3334078291592495,-0.09954245664240866,-0.3834356917522487,-0.5797341560349815,-0.6340422944412857,-0.610941011895821,-0.5932472081908455,-0.6460989091414937
2005-01-18,-0.6648671650025961,-0.342368905767922,-0.46070121570566025,-0.546891328879881,-0.43957735518661284,-0.22634680619598438,-0.11249082936922687,-0.21970138794391858,0.2677492253569995,-0.08628411401203333,-0.4194481651898865,-0.5650478563757284,-0.5049891670546623,-0.456099442177056,-0.5064109776891588
