Security,US0001M  Index                                                  ,,Security,US0002M  Index                                                  ,,Security,US0003M  Index                                                  
Start Date,38355,,Start Date,38355,,Start Date,38355
End Date,44258,,End Date,44258,,End Date,44258
Period,D,,Period,D,,Period,D
,,,,,,,
Date,PX_ASK,,Date,PX_ASK,,Date,PX_ASK
2005/1/4,2.4,,2005/1/4,2.49,,2005/1/4,2.57
2005/1/5,2.4,,2005/1/5,2.50625,,2005/1/5,2.59
2005/1/6,2.42,,2005/1/6,2.52,,2005/1/6,2.61
2005/1/7,2.43,,2005/1/7,2.52,,2005/1/7,2.61
2005/1/10,2.44,,2005/1/10,2.53,,2005/1/10,2.62
2005/1/11,2.4425,,2005/1/11,2.53013,,2005/1/11,2.63
2005/1/12,2.45,,2005/1/12,2.54,,2005/1/12,2.64
2005/1/13,2.48,,2005/1/13,2.56,,2005/1/13,2.66
2005/1/14,2.48,,2005/1/14,2.56,,2005/1/14,2.66
2005/1/17,2.5,,2005/1/17,2.57,,2005/1/17,2.67
2005/1/18,2.5,,2005/1/18,2.57,,2005/1/18,2.67
2005/1/19,2.50375,,2005/1/19,2.57313,,2005/1/19,2.68
2005/1/20,2.52,,2005/1/20,2.58938,,2005/1/20,2.6925
2005/1/21,2.53,,2005/1/21,2.61,,2005/1/21,2.7
2005/1/24,2.54438,,2005/1/24,2.61375,,2005/1/24,2.7
2005/1/25,2.55,,2005/1/25,2.6175,,2005/1/25,2.7
2005/1/26,2.55875,,2005/1/26,2.62625,,2005/1/26,2.71
2005/1/27,2.5775,,2005/1/27,2.64,,2005/1/27,2.73
2005/1/28,2.59,,2005/1/28,2.65,,2005/1/28,2.7425
2005/1/31,2.59,,2005/1/31,2.66,,2005/1/31,2.75
2005/2/1,2.59,,2005/2/1,2.66,,2005/2/1,2.75
2005/2/2,2.59,,2005/2/2,2.66,,2005/2/2,2.75
2005/2/3,2.59,,2005/2/3,2.68,,2005/2/3,2.77
2005/2/4,2.59,,2005/2/4,2.68,,2005/2/4,2.77
2005/2/7,2.59,,2005/2/7,2.6825,,2005/2/7,2.77
2005/2/8,2.59,,2005/2/8,2.685,,2005/2/8,2.77063
2005/2/9,2.59,,2005/2/9,2.68938,,2005/2/9,2.77438
2005/2/10,2.59,,2005/2/10,2.7,,2005/2/10,2.79
2005/2/11,2.59,,2005/2/11,2.7,,2005/2/11,2.79438
2005/2/14,2.59,,2005/2/14,2.71,,2005/2/14,2.8
2005/2/15,2.59,,2005/2/15,2.71,,2005/2/15,2.81
2005/2/16,2.59,,2005/2/16,2.71875,,2005/2/16,2.82
2005/2/17,2.59813,,2005/2/17,2.74,,2005/2/17,2.8475
2005/2/18,2.59938,,2005/2/18,2.74,,2005/2/18,2.85
2005/2/21,2.61,,2005/2/21,2.75,,2005/2/21,2.86
2005/2/22,2.62,,2005/2/22,2.76,,2005/2/22,2.87
2005/2/23,2.65,,2005/2/23,2.76125,,2005/2/23,2.87313
2005/2/24,2.67,,2005/2/24,2.78,,2005/2/24,2.89
2005/2/25,2.69,,2005/2/25,2.79,,2005/2/25,2.91
2005/2/28,2.71625,,2005/2/28,2.8,,2005/2/28,2.92
2005/3/1,2.72,,2005/3/1,2.81,,2005/3/1,2.93
2005/3/2,2.72,,2005/3/2,2.82,,2005/3/2,2.94
2005/3/3,2.74563,,2005/3/3,2.84,,2005/3/3,2.95
2005/3/4,2.75,,2005/3/4,2.84688,,2005/3/4,2.95875
2005/3/7,2.76,,2005/3/7,2.85,,2005/3/7,2.96
2005/3/8,2.77,,2005/3/8,2.86,,2005/3/8,2.97
2005/3/9,2.77125,,2005/3/9,2.86188,,2005/3/9,2.98
2005/3/10,2.8,,2005/3/10,2.9,,2005/3/10,3
2005/3/11,2.81,,2005/3/11,2.91,,2005/3/11,3.01
2005/3/14,2.82,,2005/3/14,2.92,,2005/3/14,3.02
2005/3/15,2.83,,2005/3/15,2.93,,2005/3/15,3.03
2005/3/16,2.83375,,2005/3/16,2.94,,2005/3/16,3.04
2005/3/17,2.85,,2005/3/17,2.96,,2005/3/17,3.05
2005/3/18,2.85,,2005/3/18,2.96,,2005/3/18,3.05
2005/3/21,2.85,,2005/3/21,2.96,,2005/3/21,3.0525
2005/3/22,2.85,,2005/3/22,2.97,,2005/3/22,3.06
2005/3/23,2.85,,2005/3/23,2.99375,,2005/3/23,3.09
2005/3/24,2.85,,2005/3/24,3,,2005/3/24,3.09
2005/3/29,2.85,,2005/3/29,3,,2005/3/29,3.0925
2005/3/30,2.86,,2005/3/30,3.01,,2005/3/30,3.1
2005/3/31,2.87,,2005/3/31,3.03,,2005/3/31,3.12
2005/4/1,2.87,,2005/4/1,3.03,,2005/4/1,3.12
2005/4/4,2.87063,,2005/4/4,3.03,,2005/4/4,3.12
2005/4/5,2.89,,2005/4/5,3.04,,2005/4/5,3.1225
2005/4/6,2.89125,,2005/4/6,3.04,,2005/4/6,3.12313
2005/4/7,2.91,,2005/4/7,3.05,,2005/4/7,3.13
2005/4/8,2.92,,2005/4/8,3.05,,2005/4/8,3.13
2005/4/11,2.93,,2005/4/11,3.06,,2005/4/11,3.14
2005/4/12,2.95,,2005/4/12,3.06875,,2005/4/12,3.14
2005/4/13,2.95375,,2005/4/13,3.07,,2005/4/13,3.14063
2005/4/14,2.97,,2005/4/14,3.07875,,2005/4/14,3.15
2005/4/15,2.98,,2005/4/15,3.08,,2005/4/15,3.15
2005/4/18,2.99,,2005/4/18,3.08,,2005/4/18,3.14475
2005/4/19,3,,2005/4/19,3.08,,2005/4/19,3.15
2005/4/20,3.00063,,2005/4/20,3.08,,2005/4/20,3.15
2005/4/21,3.02,,2005/4/21,3.09313,,2005/4/21,3.16063
2005/4/22,3.03,,2005/4/22,3.1025,,2005/4/22,3.17
2005/4/25,3.04,,2005/4/25,3.10813,,2005/4/25,3.18
2005/4/26,3.06,,2005/4/26,3.11563,,2005/4/26,3.18688
2005/4/27,3.06438,,2005/4/27,3.12,,2005/4/27,3.19
2005/4/28,3.08125,,2005/4/28,3.14,,2005/4/28,3.21
2005/4/29,3.08875,,2005/4/29,3.14,,2005/4/29,3.21
2005/5/3,3.09,,2005/5/3,3.145,,2005/5/3,3.21938
2005/5/4,3.09,,2005/5/4,3.15,,2005/5/4,3.22
2005/5/5,3.09,,2005/5/5,3.16,,2005/5/5,3.2285
2005/5/6,3.09,,2005/5/6,3.16,,2005/5/6,3.23
2005/5/9,3.09,,2005/5/9,3.17,,2005/5/9,3.25
2005/5/10,3.09,,2005/5/10,3.17,,2005/5/10,3.25
2005/5/11,3.09,,2005/5/11,3.175,,2005/5/11,3.26
2005/5/12,3.09,,2005/5/12,3.185,,2005/5/12,3.26813
2005/5/13,3.09,,2005/5/13,3.19,,2005/5/13,3.27
2005/5/16,3.09,,2005/5/16,3.19,,2005/5/16,3.27
2005/5/17,3.09,,2005/5/17,3.19,,2005/5/17,3.27
2005/5/18,3.09,,2005/5/18,3.1975,,2005/5/18,3.28
2005/5/19,3.09,,2005/5/19,3.21,,2005/5/19,3.28438
2005/5/20,3.09,,2005/5/20,3.21,,2005/5/20,3.29
2005/5/23,3.09,,2005/5/23,3.21,,2005/5/23,3.29375
2005/5/24,3.09,,2005/5/24,3.21063,,2005/5/24,3.29875
2005/5/25,3.09063,,2005/5/25,3.21438,,2005/5/25,3.31
2005/5/26,3.10063,,2005/5/26,3.22188,,2005/5/26,3.32
2005/5/27,3.11125,,2005/5/27,3.23,,2005/5/27,3.33
2005/5/31,3.13,,2005/5/31,3.24,,2005/5/31,3.3375
2005/6/1,3.14,,2005/6/1,3.25,,2005/6/1,3.35
2005/6/2,3.15,,2005/6/2,3.26,,2005/6/2,3.35
2005/6/3,3.16,,2005/6/3,3.26625,,2005/6/3,3.36
2005/6/6,3.17,,2005/6/6,3.27,,2005/6/6,3.37
2005/6/7,3.18375,,2005/6/7,3.27,,2005/6/7,3.37
2005/6/8,3.19,,2005/6/8,3.27563,,2005/6/8,3.37938
2005/6/9,3.21,,2005/6/9,3.3,,2005/6/9,3.39
2005/6/10,3.21625,,2005/6/10,3.30813,,2005/6/10,3.4
2005/6/13,3.22,,2005/6/13,3.31313,,2005/6/13,3.41
2005/6/14,3.23625,,2005/6/14,3.32,,2005/6/14,3.41375
2005/6/15,3.24,,2005/6/15,3.32875,,2005/6/15,3.42063
2005/6/16,3.26,,2005/6/16,3.35,,2005/6/16,3.43
2005/6/17,3.27,,2005/6/17,3.35938,,2005/6/17,3.43938
2005/6/20,3.28,,2005/6/20,3.3625,,2005/6/20,3.44375
2005/6/21,3.3,,2005/6/21,3.37,,2005/6/21,3.45188
2005/6/22,3.3,,2005/6/22,3.37125,,2005/6/22,3.46
2005/6/23,3.31438,,2005/6/23,3.4,,2005/6/23,3.47
2005/6/24,3.32,,2005/6/24,3.41,,2005/6/24,3.47813
2005/6/27,3.32563,,2005/6/27,3.41063,,2005/6/27,3.48
2005/6/28,3.33,,2005/6/28,3.42,,2005/6/28,3.49
2005/6/29,3.34,,2005/6/29,3.43,,2005/6/29,3.50438
2005/6/30,3.34,,2005/6/30,3.45,,2005/6/30,3.51625
2005/7/1,3.34,,2005/7/1,3.45625,,2005/7/1,3.52875
2005/7/4,3.34,,2005/7/4,3.46625,,2005/7/4,3.5475
2005/7/5,3.34,,2005/7/5,3.47,,2005/7/5,3.55
2005/7/6,3.34,,2005/7/6,3.47563,,2005/7/6,3.56
2005/7/7,3.35,,2005/7/7,3.47857,,2005/7/7,3.55
2005/7/8,3.36,,2005/7/8,3.48,,2005/7/8,3.56063
2005/7/11,3.38,,2005/7/11,3.49,,2005/7/11,3.57
2005/7/12,3.38,,2005/7/12,3.49188,,2005/7/12,3.58
2005/7/13,3.38813,,2005/7/13,3.5,,2005/7/13,3.59875
2005/7/14,3.40875,,2005/7/14,3.51563,,2005/7/14,3.60875
2005/7/15,3.41688,,2005/7/15,3.52,,2005/7/15,3.61438
2005/7/18,3.43,,2005/7/18,3.52,,2005/7/18,3.62
2005/7/19,3.4325,,2005/7/19,3.53,,2005/7/19,3.63
2005/7/20,3.43813,,2005/7/20,3.53938,,2005/7/20,3.64
2005/7/21,3.46,,2005/7/21,3.56,,2005/7/21,3.65
2005/7/22,3.46375,,2005/7/22,3.56,,2005/7/22,3.66
2005/7/25,3.48,,2005/7/25,3.565,,2005/7/25,3.6625
2005/7/26,3.48125,,2005/7/26,3.57,,2005/7/26,3.66913
2005/7/27,3.49,,2005/7/27,3.58,,2005/7/27,3.68
2005/7/28,3.51,,2005/7/28,3.6,,2005/7/28,3.69313
2005/7/29,3.51875,,2005/7/29,3.60875,,2005/7/29,3.7
2005/8/1,3.53375,,2005/8/1,3.62,,2005/8/1,3.71
2005/8/2,3.54,,2005/8/2,3.63,,2005/8/2,3.72
2005/8/3,3.55,,2005/8/3,3.64,,2005/8/3,3.73313
2005/8/4,3.55875,,2005/8/4,3.66,,2005/8/4,3.74688
2005/8/5,3.56,,2005/8/5,3.6675,,2005/8/5,3.75
2005/8/8,3.57,,2005/8/8,3.68,,2005/8/8,3.76
2005/8/9,3.57063,,2005/8/9,3.68,,2005/8/9,3.78
2005/8/10,3.57,,2005/8/10,3.68,,2005/8/10,3.78
2005/8/11,3.57125,,2005/8/11,3.7,,2005/8/11,3.79
2005/8/12,3.5725,,2005/8/12,3.7,,2005/8/12,3.79
2005/8/15,3.5825,,2005/8/15,3.7075,,2005/8/15,3.79688
2005/8/16,3.58813,,2005/8/16,3.71063,,2005/8/16,3.80188
2005/8/17,3.59,,2005/8/17,3.71188,,2005/8/17,3.81
2005/8/18,3.60938,,2005/8/18,3.73,,2005/8/18,3.82
2005/8/19,3.62,,2005/8/19,3.73063,,2005/8/19,3.82288
2005/8/22,3.64,,2005/8/22,3.73663,,2005/8/22,3.83
2005/8/23,3.64125,,2005/8/23,3.74,,2005/8/23,3.83625
2005/8/24,3.64063,,2005/8/24,3.74,,2005/8/24,3.84063
2005/8/25,3.66938,,2005/8/25,3.76,,2005/8/25,3.86
2005/8/26,3.67,,2005/8/26,3.76,,2005/8/26,3.86
2005/8/30,3.69313,,2005/8/30,3.77,,2005/8/30,3.87
2005/8/31,3.7,,2005/8/31,3.77,,2005/8/31,3.87
2005/9/1,3.71625,,2005/9/1,3.77938,,2005/9/1,3.855
2005/9/2,3.68,,2005/9/2,3.7225,,2005/9/2,3.761
2005/9/5,3.68938,,2005/9/5,3.73375,,2005/9/5,3.77625
2005/9/6,3.7025,,2005/9/6,3.74,,2005/9/6,3.79
2005/9/7,3.70438,,2005/9/7,3.74563,,2005/9/7,3.79813
2005/9/8,3.72813,,2005/9/8,3.78,,2005/9/8,3.83375
2005/9/9,3.74,,2005/9/9,3.79,,2005/9/9,3.85
2005/9/12,3.75,,2005/9/12,3.79625,,2005/9/12,3.85688
2005/9/13,3.76813,,2005/9/13,3.81,,2005/9/13,3.87
2005/9/14,3.77188,,2005/9/14,3.82,,2005/9/14,3.87438
2005/9/15,3.78938,,2005/9/15,3.835,,2005/9/15,3.88563
2005/9/16,3.79625,,2005/9/16,3.84,,2005/9/16,3.89
2005/9/19,3.81188,,2005/9/19,3.86063,,2005/9/19,3.92
2005/9/20,3.81875,,2005/9/20,3.86313,,2005/9/20,3.92438
2005/9/21,3.83,,2005/9/21,3.89,,2005/9/21,3.96
2005/9/22,3.83,,2005/9/22,3.89375,,2005/9/22,3.96063
2005/9/23,3.83,,2005/9/23,3.90125,,2005/9/23,3.97
2005/9/26,3.8375,,2005/9/26,3.92,,2005/9/26,4
2005/9/27,3.84,,2005/9/27,3.92875,,2005/9/27,4.01
2005/9/28,3.84063,,2005/9/28,3.93813,,2005/9/28,4.02038
2005/9/29,3.86,,2005/9/29,3.96,,2005/9/29,4.05438
2005/9/30,3.86375,,2005/9/30,3.97,,2005/9/30,4.065
2005/10/3,3.88,,2005/10/3,3.975,,2005/10/3,4.07688
2005/10/4,3.89,,2005/10/4,3.98875,,2005/10/4,4.09
2005/10/5,3.89,,2005/10/5,3.99375,,2005/10/5,4.1
2005/10/6,3.93538,,2005/10/6,4.01,,2005/10/6,4.11
2005/10/7,3.94,,2005/10/7,4.01063,,2005/10/7,4.115
2005/10/10,3.94,,2005/10/10,4.01438,,2005/10/10,4.12313
2005/10/11,3.94125,,2005/10/11,4.02,,2005/10/11,4.13
2005/10/12,3.94563,,2005/10/12,4.02563,,2005/10/12,4.14
2005/10/13,3.97,,2005/10/13,4.05,,2005/10/13,4.15
2005/10/14,3.98,,2005/10/14,4.06,,2005/10/14,4.15938
2005/10/17,3.99688,,2005/10/17,4.06313,,2005/10/17,4.1675
2005/10/18,4,,2005/10/18,4.07,,2005/10/18,4.17413
2005/10/19,4.00313,,2005/10/19,4.08,,2005/10/19,4.18063
2005/10/20,4.03125,,2005/10/20,4.11688,,2005/10/20,4.19375
2005/10/21,4.0375,,2005/10/21,4.12,,2005/10/21,4.2
2005/10/24,4.05125,,2005/10/24,4.12563,,2005/10/24,4.20625
2005/10/25,4.06,,2005/10/25,4.13,,2005/10/25,4.21563
2005/10/26,4.07,,2005/10/26,4.14438,,2005/10/26,4.23
2005/10/27,4.08125,,2005/10/27,4.16063,,2005/10/27,4.24313
2005/10/28,4.08875,,2005/10/28,4.2,,2005/10/28,4.25
2005/10/31,4.09,,2005/10/31,4.20813,,2005/10/31,4.26
2005/11/1,4.09,,2005/11/1,4.21,,2005/11/1,4.26063
2005/11/2,4.09,,2005/11/2,4.22,,2005/11/2,4.28
2005/11/3,4.09,,2005/11/3,4.23375,,2005/11/3,4.29063
2005/11/4,4.09,,2005/11/4,4.24,,2005/11/4,4.3
2005/11/7,4.09,,2005/11/7,4.24125,,2005/11/7,4.30438
2005/11/8,4.1,,2005/11/8,4.25,,2005/11/8,4.31
2005/11/9,4.11375,,2005/11/9,4.2675,,2005/11/9,4.33
2005/11/10,4.115,,2005/11/10,4.27,,2005/11/10,4.33225
2005/11/11,4.12,,2005/11/11,4.27,,2005/11/11,4.34
2005/11/14,4.12125,,2005/11/14,4.27,,2005/11/14,4.34
2005/11/15,4.14,,2005/11/15,4.28,,2005/11/15,4.35
2005/11/16,4.14,,2005/11/16,4.2875,,2005/11/16,4.36813
2005/11/17,4.15938,,2005/11/17,4.3,,2005/11/17,4.37
2005/11/18,4.16563,,2005/11/18,4.30125,,2005/11/18,4.3725
2005/11/21,4.17,,2005/11/21,4.30875,,2005/11/21,4.38
2005/11/22,4.19375,,2005/11/22,4.32,,2005/11/22,4.39375
2005/11/23,4.19125,,2005/11/23,4.31875,,2005/11/23,4.39
2005/11/24,4.2,,2005/11/24,4.33,,2005/11/24,4.4
2005/11/25,4.21,,2005/11/25,4.33,,2005/11/25,4.40063
2005/11/28,4.22,,2005/11/28,4.34,,2005/11/28,4.40625
2005/11/29,4.29063,,2005/11/29,4.35125,,2005/11/29,4.41
2005/11/30,4.29375,,2005/11/30,4.36,,2005/11/30,4.42
2005/12/1,4.31125,,2005/12/1,4.38,,2005/12/1,4.44
2005/12/2,4.32,,2005/12/2,4.38875,,2005/12/2,4.44688
2005/12/5,4.33125,,2005/12/5,4.39438,,2005/12/5,4.45
2005/12/6,4.33938,,2005/12/6,4.4,,2005/12/6,4.45688
2005/12/7,4.34,,2005/12/7,4.40313,,2005/12/7,4.46
2005/12/8,4.36,,2005/12/8,4.4275,,2005/12/8,4.48
2005/12/9,4.36188,,2005/12/9,4.43,,2005/12/9,4.48
2005/12/12,4.3675,,2005/12/12,4.4375,,2005/12/12,4.48875
2005/12/13,4.36938,,2005/12/13,4.44,,2005/12/13,4.49125
2005/12/14,4.37,,2005/12/14,4.44,,2005/12/14,4.49125
2005/12/15,4.37,,2005/12/15,4.4475,,2005/12/15,4.49688
2005/12/16,4.37,,2005/12/16,4.45,,2005/12/16,4.5
2005/12/19,4.37,,2005/12/19,4.45,,2005/12/19,4.5
2005/12/20,4.37,,2005/12/20,4.45,,2005/12/20,4.50125
2005/12/21,4.37,,2005/12/21,4.45375,,2005/12/21,4.50375
2005/12/22,4.37875,,2005/12/22,4.46813,,2005/12/22,4.51938
2005/12/23,4.38,,2005/12/23,4.47,,2005/12/23,4.52063
2005/12/28,4.38875,,2005/12/28,4.47,,2005/12/28,4.52688
2005/12/29,4.385,,2005/12/29,4.4725,,2005/12/29,4.53
2005/12/30,4.39,,2005/12/30,4.47938,,2005/12/30,4.53625
2006/1/3,4.3975,,2006/1/3,4.48313,,2006/1/3,4.54438
2006/1/4,4.4,,2006/1/4,4.48,,2006/1/4,4.54063
2006/1/5,4.41875,,2006/1/5,4.49,,2006/1/5,4.55
2006/1/6,4.42,,2006/1/6,4.49,,2006/1/6,4.55
2006/1/9,4.43688,,2006/1/9,4.50063,,2006/1/9,4.56
2006/1/10,4.44,,2006/1/10,4.50625,,2006/1/10,4.5685
2006/1/11,4.44163,,2006/1/11,4.51,,2006/1/11,4.58
2006/1/12,4.47,,2006/1/12,4.52688,,2006/1/12,4.6
2006/1/13,4.47,,2006/1/13,4.52813,,2006/1/13,4.6
2006/1/16,4.48,,2006/1/16,4.535,,2006/1/16,4.6
2006/1/17,4.48313,,2006/1/17,4.53938,,2006/1/17,4.60225
2006/1/18,4.49,,2006/1/18,4.54,,2006/1/18,4.601
2006/1/19,4.51,,2006/1/19,4.55,,2006/1/19,4.61375
2006/1/20,4.51938,,2006/1/20,4.55938,,2006/1/20,4.62
2006/1/23,4.53,,2006/1/23,4.57,,2006/1/23,4.62288
2006/1/24,4.53375,,2006/1/24,4.5725,,2006/1/24,4.63
2006/1/25,4.54,,2006/1/25,4.58,,2006/1/25,4.63975
2006/1/26,4.56,,2006/1/26,4.6,,2006/1/26,4.66
2006/1/27,4.56813,,2006/1/27,4.60938,,2006/1/27,4.6675
2006/1/30,4.57,,2006/1/30,4.62688,,2006/1/30,4.68
2006/1/31,4.57,,2006/1/31,4.62938,,2006/1/31,4.68
2006/2/1,4.57063,,2006/2/1,4.63,,2006/2/1,4.69
2006/2/2,4.57038,,2006/2/2,4.64,,2006/2/2,4.71
2006/2/3,4.57,,2006/2/3,4.64,,2006/2/3,4.71
2006/2/6,4.57,,2006/2/6,4.65,,2006/2/6,4.715
2006/2/7,4.57,,2006/2/7,4.65,,2006/2/7,4.72
2006/2/8,4.57,,2006/2/8,4.65,,2006/2/8,4.72
2006/2/9,4.57,,2006/2/9,4.66,,2006/2/9,4.74
2006/2/10,4.57,,2006/2/10,4.6725,,2006/2/10,4.74063
2006/2/13,4.57,,2006/2/13,4.67813,,2006/2/13,4.74875
2006/2/14,4.57,,2006/2/14,4.68,,2006/2/14,4.75
2006/2/15,4.57,,2006/2/15,4.68,,2006/2/15,4.75
2006/2/16,4.57,,2006/2/16,4.69125,,2006/2/16,4.77
2006/2/17,4.57,,2006/2/17,4.69,,2006/2/17,4.77
2006/2/20,4.57,,2006/2/20,4.695,,2006/2/20,4.77031
2006/2/21,4.57,,2006/2/21,4.6975,,2006/2/21,4.77375
2006/2/22,4.57125,,2006/2/22,4.7,,2006/2/22,4.78
2006/2/23,4.58063,,2006/2/23,4.71125,,2006/2/23,4.8
2006/2/24,4.605,,2006/2/24,4.72,,2006/2/24,4.81
2006/2/27,4.63,,2006/2/27,4.72875,,2006/2/27,4.82
2006/2/28,4.63313,,2006/2/28,4.73,,2006/2/28,4.8225
2006/3/1,4.64,,2006/3/1,4.73656,,2006/3/1,4.83
2006/3/2,4.66063,,2006/3/2,4.75063,,2006/3/2,4.84
2006/3/3,4.67,,2006/3/3,4.75938,,2006/3/3,4.85
2006/3/6,4.69,,2006/3/6,4.76438,,2006/3/6,4.86
2006/3/7,4.69125,,2006/3/7,4.77,,2006/3/7,4.87
2006/3/8,4.69813,,2006/3/8,4.77875,,2006/3/8,4.88
2006/3/9,4.72,,2006/3/9,4.8075,,2006/3/9,4.89
2006/3/10,4.74,,2006/3/10,4.81,,2006/3/10,4.9
2006/3/13,4.74875,,2006/3/13,4.81938,,2006/3/13,4.91
2006/3/14,4.75094,,2006/3/14,4.82625,,2006/3/14,4.91688
2006/3/15,4.7525,,2006/3/15,4.83,,2006/3/15,4.92
2006/3/16,4.77625,,2006/3/16,4.85,,2006/3/16,4.93
2006/3/17,4.78,,2006/3/17,4.85063,,2006/3/17,4.93
2006/3/20,4.79375,,2006/3/20,4.85813,,2006/3/20,4.93538
2006/3/21,4.8,,2006/3/21,4.86438,,2006/3/21,4.94
2006/3/22,4.80938,,2006/3/22,4.87313,,2006/3/22,4.95031
2006/3/23,4.81813,,2006/3/23,4.89,,2006/3/23,4.96
2006/3/24,4.82063,,2006/3/24,4.9,,2006/3/24,4.96475
2006/3/27,4.82188,,2006/3/27,4.9,,2006/3/27,4.96
2006/3/28,4.8225,,2006/3/28,4.9,,2006/3/28,4.96
2006/3/29,4.82875,,2006/3/29,4.91625,,2006/3/29,4.97938
2006/3/30,4.82563,,2006/3/30,4.92313,,2006/3/30,4.99
2006/3/31,4.82938,,2006/3/31,4.93,,2006/3/31,5
2006/4/3,4.83,,2006/4/3,4.93,,2006/4/3,5
2006/4/4,4.8375,,2006/4/4,4.94,,2006/4/4,5.01
2006/4/5,4.84,,2006/4/5,4.945,,2006/4/5,5.01375
2006/4/6,4.84875,,2006/4/6,4.9575,,2006/4/6,5.0225
2006/4/7,4.85188,,2006/4/7,4.96125,,2006/4/7,5.02813
2006/4/10,4.86,,2006/4/10,4.97,,2006/4/10,5.04469
2006/4/11,4.88,,2006/4/11,4.97688,,2006/4/11,5.05
2006/4/12,4.90125,,2006/4/12,4.9975,,2006/4/12,5.06825
2006/4/13,4.91,,2006/4/13,5.0025,,2006/4/13,5.07688
2006/4/18,4.9225,,2006/4/18,5.01,,2006/4/18,5.08
2006/4/19,4.92938,,2006/4/19,5.01,,2006/4/19,5.07469
2006/4/20,4.95,,2006/4/20,5.02938,,2006/4/20,5.09
2006/4/21,4.95938,,2006/4/21,5.03688,,2006/4/21,5.1
2006/4/24,4.97,,2006/4/24,5.04,,2006/4/24,5.1075
2006/4/25,4.98938,,2006/4/25,5.04688,,2006/4/25,5.11
2006/4/26,5,,2006/4/26,5.05938,,2006/4/26,5.12563
2006/4/27,5.0225,,2006/4/27,5.08375,,2006/4/27,5.14875
2006/4/28,5.04,,2006/4/28,5.08,,2006/4/28,5.13
2006/5/2,5.05188,,2006/5/2,5.09188,,2006/5/2,5.14563
2006/5/3,5.05875,,2006/5/3,5.0975,,2006/5/3,5.15
2006/5/4,5.06913,,2006/5/4,5.11,,2006/5/4,5.16
2006/5/5,5.07563,,2006/5/5,5.11875,,2006/5/5,5.16625
2006/5/8,5.08,,2006/5/8,5.12,,2006/5/8,5.16
2006/5/9,5.08,,2006/5/9,5.12,,2006/5/9,5.16188
2006/5/10,5.08,,2006/5/10,5.12,,2006/5/10,5.16438
2006/5/11,5.08063,,2006/5/11,5.12875,,2006/5/11,5.17
2006/5/12,5.08063,,2006/5/12,5.13,,2006/5/12,5.17
2006/5/15,5.08063,,2006/5/15,5.13,,2006/5/15,5.17063
2006/5/16,5.08063,,2006/5/16,5.13125,,2006/5/16,5.1725
2006/5/17,5.08,,2006/5/17,5.13188,,2006/5/17,5.17381
2006/5/18,5.08063,,2006/5/18,5.14063,,2006/5/18,5.18938
2006/5/19,5.08,,2006/5/19,5.14225,,2006/5/19,5.19375
2006/5/22,5.08063,,2006/5/22,5.15063,,2006/5/22,5.2075
2006/5/23,5.08125,,2006/5/23,5.15188,,2006/5/23,5.21
2006/5/24,5.08125,,2006/5/24,5.15375,,2006/5/24,5.21438
2006/5/25,5.09063,,2006/5/25,5.16313,,2006/5/25,5.22
2006/5/26,5.0925,,2006/5/26,5.1675,,2006/5/26,5.22688
2006/5/30,5.10906,,2006/5/30,5.17063,,2006/5/30,5.23063
2006/5/31,5.11063,,2006/5/31,5.17813,,2006/5/31,5.23813
2006/6/1,5.12938,,2006/6/1,5.21,,2006/6/1,5.27063
2006/6/2,5.1375,,2006/6/2,5.21,,2006/6/2,5.27
2006/6/5,5.13,,2006/6/5,5.18625,,2006/6/5,5.23625
2006/6/6,5.14475,,2006/6/6,5.21,,2006/6/6,5.27
2006/6/7,5.15,,2006/6/7,5.22,,2006/6/7,5.2825
2006/6/8,5.17,,2006/6/8,5.24,,2006/6/8,5.3
2006/6/9,5.17625,,2006/6/9,5.25,,2006/6/9,5.31
2006/6/12,5.18375,,2006/6/12,5.26,,2006/6/12,5.31938
2006/6/13,5.19875,,2006/6/13,5.27,,2006/6/13,5.32938
2006/6/14,5.20813,,2006/6/14,5.27813,,2006/6/14,5.34063
2006/6/15,5.25188,,2006/6/15,5.33313,,2006/6/15,5.39563
2006/6/16,5.26688,,2006/6/16,5.35063,,2006/6/16,5.41375
2006/6/19,5.27938,,2006/6/19,5.36,,2006/6/19,5.42438
2006/6/20,5.29438,,2006/6/20,5.37,,2006/6/20,5.43688
2006/6/21,5.30219,,2006/6/21,5.38,,2006/6/21,5.44875
2006/6/22,5.3225,,2006/6/22,5.4,,2006/6/22,5.46
2006/6/23,5.335,,2006/6/23,5.41313,,2006/6/23,5.48
2006/6/26,5.34063,,2006/6/26,5.42,,2006/6/26,5.49
2006/6/27,5.35,,2006/6/27,5.43,,2006/6/27,5.5
2006/6/28,5.35,,2006/6/28,5.43,,2006/6/28,5.49875
2006/6/29,5.34625,,2006/6/29,5.44063,,2006/6/29,5.50813
2006/6/30,5.33438,,2006/6/30,5.42,,2006/6/30,5.48063
2006/7/3,5.33375,,2006/7/3,5.42,,2006/7/3,5.48
2006/7/4,5.33438,,2006/7/4,5.42375,,2006/7/4,5.48563
2006/7/5,5.33688,,2006/7/5,5.42688,,2006/7/5,5.48875
2006/7/6,5.345,,2006/7/6,5.43938,,2006/7/6,5.50719
2006/7/7,5.34938,,2006/7/7,5.44,,2006/7/7,5.51
